x_acceleration,y_acceleration,z_acceleration,soco
-0.9304199,-0.2722168,0.1333008,0
-0.963623,-0.2714844,0.1679688,0
-0.998291,-0.2548828,0.1887207,0
-1.006104,-0.2460938,0.203125,0
-0.9938965,-0.2561035,0.1552734,0
-0.963623,-0.3361816,0.1489258,0
-0.9287109,-0.4248047,0.1445313,0
-0.9123535,-0.4240723,0.1311035,0
-0.8798828,-0.4848633,0.1987305,0
-0.8903809,-0.486084,0.2844238,0
-0.8703613,-0.5402832,0.3320313,0
-0.8789063,-0.6269531,0.5007324,0
-0.9169922,-0.7299805,0.5358887,0
-0.9199219,-0.8269043,0.5476074,0
-0.9396973,-0.9714355,0.6945801,0
-0.9763184,-0.9658203,0.904541,0
-1.031738,-0.8378906,0.7751465,0
-0.9663086,-0.8361816,0.5375977,0
-0.9160156,-1.004883,0.6855469,0
-0.9394531,-1.233154,0.9025879,0
-0.8447266,-0.9824219,0.723877,0
-0.7106934,-0.5847168,0.4313965,0
-0.5112305,-0.3312988,0.1398926,0
-0.2712402,-0.2976074,-0.2839355,0
-0.2253418,-0.5456543,-0.4138184,0
-0.2307129,0.5192871,-0.7463379,0
-0.105957,1.492188,-1.124512,1
-0.1455078,1.999939,-1.469727,1
-0.4296875,1.999939,-1.97876,1
-0.9379883,1.999939,-1.708252,1
-1.505615,1.470459,-0.5383301,1
-1.842773,0.8613281,0.3735352,0
-1.792236,0.3334961,0.2280273,0
-1.38916,0.1350098,-0.7297363,0
-0.9133301,0.1196289,-1.13501,0
-0.7319336,0.2521973,-0.9248047,0
-0.5551758,0.5292969,-0.5354004,0
-0.4335938,0.9450684,-0.4104004,0
-0.4929199,0.3005371,-0.6733398,0
-0.4936523,0.4143066,-0.7871094,0
-0.4787598,0.8366699,-0.4855957,0
-0.4987793,0.3937988,-0.6877441,0
-0.6223145,0.02539063,-0.4624023,0
-0.9160156,0.2885742,-0.1179199,0
-1.11084,0.3466797,0.08251953,0
-1.042236,-0.05859375,0.046875,0
-1.04248,-0.4020996,0.1079102,0
-1.026367,-0.5554199,0.1984863,0
-0.9528809,-0.4790039,0.5187988,0
-0.8706055,-0.6196289,0.6777344,0
-0.8581543,-0.8713379,0.699707,0
-0.6943359,-0.8671875,0.4882813,0
-0.588623,-0.8837891,0.3774414,0
-0.6555176,-0.8833008,0.2956543,0
-0.8762207,-0.9123535,0.4716797,0
-1.064941,-0.6508789,0.6672363,0
-1.140625,-0.4135742,0.6062012,0
-1.071777,-0.3242188,0.2436523,0
