x_acceleration,y_acceleration,z_acceleration
-0.8190918,-0.5908203,0.6174316
-0.8369141,-0.5673828,0.7004395
-0.9614258,-0.5212402,0.854248
-1.066162,-0.5617676,0.949707
-1.109375,-0.5146484,0.8955078
-1.060303,-0.4016113,0.7207031
-1.022217,-0.2570801,0.6489258
-0.9921875,-0.121582,0.6447754
-0.984375,-0.1560059,0.6586914
-0.9892578,-0.177002,0.4206543
-1.028809,-0.1291504,0.307373
-1.06665,-0.09545898,0.3134766
-1.083008,0.01391602,0.3195801
-1.005127,0.01098633,0.3588867
-0.9709473,0.06494141,0.4038086
