x_acceleration,y_acceleration,z_acceleration
-0.9311523,0.04003906,0.5246582
-0.9697266,0.02075195,0.5458984
-0.9689941,0.005859375,0.4863281
-0.9360352,-0.06420898,0.4484863
-0.9038086,-0.09350586,0.4460449
-0.8820801,-0.1132813,0.5053711
-0.8811035,-0.157959,0.638916
-0.8696289,-0.2644043,0.8515625
-0.8603516,-0.4528809,1.019775
-0.8620605,-0.6523438,1.105225
-0.8857422,-0.720459,1.139648
-0.9304199,-0.6633301,0.9501953
-0.8850098,-0.8510742,0.9123535
-0.895752,-1.018555,0.9887695
-0.8977051,-1.149902,1.015625
-0.845459,-0.8757324,0.8955078
-0.7954102,-0.4995117,0.8571777
-0.7937012,-0.1535645,0.8168945
-0.8305664,0.04492188,0.5512695
-0.7819824,-0.309082,0.02978516
-0.6489258,-0.2429199,-0.5288086
-0.6403809,0.4875488,-0.5637207
-0.628418,1.032471,-0.3789063
-0.6003418,1.178711,-0.4172363
-0.5666504,1.426514,-0.7111816
-0.6679688,1.743408,-0.9182129
-0.8706055,1.794189,-0.6999512
-1.073242,1.502686,-0.0222168
-1.105225,1.225342,0.1716309
-1.004883,0.7282715,0.01123047
-0.7541504,0.4108887,-0.4970703
-0.5585938,0.2045898,-0.9470215
-0.5241699,0.06542969,-0.8134766
-0.5895996,0.284668,-0.4470215
-0.692627,0.6015625,-0.2946777
-0.7429199,0.6135254,-0.3195801
-0.7819824,0.7412109,-0.3608398
-0.7675781,0.9753418,-0.4238281
-0.685791,0.9331055,-0.5349121
-0.671875,0.776123,-0.5019531
-0.767334,0.6552734,-0.4641113
-0.8549805,0.71875,-0.427002
-0.9804688,0.7822266,-0.1540527
-1.103271,0.7219238,0.0480957
-1.099854,0.4321289,-0.06762695
-1.000977,0.1276855,-0.1320801
-0.9555664,0.07299805,0.105957
-0.949707,0.1594238,0.3896484
-0.8845215,-0.08276367,0.5080566
-0.7971191,-0.3464355,0.3793945
-0.7810059,-0.5290527,0.1767578
-0.934082,-0.5778809,0.4091797
-1.105469,-0.4421387,0.815918
-1.114746,-0.2111816,0.9914551
-1.063965,-0.2661133,0.9462891
-0.9946289,-0.291748,0.7785645
-0.925293,-0.279541,0.7724609
-0.9350586,-0.1674805,0.9372559
-0.9343262,-0.1091309,1.002197
-0.8874512,-0.07348633,0.7819824

