time,ax,ay,az,atotal
0.004938840866088867,-0.15,-0.08,-0.68,0.7
0.014920949935913086,-0.13,-0.14,-0.44,0.47
0.02486586570739746,-0.05,-0.15,-0.15,0.21
0.03485298156738281,-0.01,-0.07,0.03,0.07
0.04551196098327637,0.02,-0.02,0.16,0.16
0.05460000038146973,0.08,-0.03,0.18,0.19
0.06441497802734375,0.1,-0.07,0.09,0.15
0.0746469497680664,0.08,-0.12,-0.06,0.15
0.08450198173522949,-0.01,-0.16,-0.21,0.26
0.09492897987365723,-0.09,-0.15,-0.23,0.28
0.10422205924987793,-0.07,-0.06,-0.18,0.2
0.11421394348144531,-0.02,0.03,-0.07,0.07
0.12436199188232422,0.03,0.08,0.06,0.1
0.13433194160461426,0.05,0.07,0.16,0.18
0.14463210105895996,0.08,0.02,0.13,0.15
0.15414977073669434,0.13,-0.05,0.08,0.16
0.1638329029083252,0.18,-0.12,0.05,0.22
0.1739959716796875,0.14,-0.16,0.02,0.21
0.18389892578125,0.06,-0.17,0.05,0.18
0.1949019432067871,-0.01,-0.17,0.16,0.23
0.20363688468933105,0.0,-0.15,0.23,0.27
0.21347784996032715,-0.06,-0.16,0.24,0.29
0.2236478328704834,-0.11,-0.18,0.13,0.24
0.23354196548461914,-0.1,-0.19,-0.04,0.21
0.24352693557739258,-0.09,-0.23,-0.19,0.31
0.2533390522003174,-0.11,-0.22,-0.22,0.33
0.2630589008331299,-0.14,-0.17,-0.21,0.3
0.2733747959136963,-0.06,-0.09,-0.23,0.25
0.28313493728637695,0.04,-0.01,-0.08,0.09
0.2933061122894287,0.04,0.05,0.19,0.2
0.3029778003692627,0.04,0.09,0.31,0.32
0.31276488304138184,0.05,0.11,0.26,0.28
0.3228938579559326,0.05,0.09,0.19,0.21
0.33277010917663574,0.12,0.05,0.07,0.14
0.3425600528717041,0.18,0.02,-0.07,0.19
0.35257792472839355,0.1,-0.02,-0.07,0.12
0.36219000816345215,-0.06,-0.01,-0.03,0.06
0.37258410453796387,-0.11,0.01,-0.1,0.14
0.38210606575012207,-0.12,0.04,-0.13,0.18
0.3922579288482666,-0.11,0.06,-0.03,0.12
0.4020998477935791,-0.16,0.11,0.16,0.25
0.411937952041626,-0.19,0.16,0.23,0.33
0.4222719669342041,-0.15,0.17,0.2,0.3
0.4319949150085449,-0.14,0.21,0.15,0.29
0.44183993339538574,-0.08,0.19,0.06,0.21
0.4517788887023926,-0.07,0.14,-0.04,0.16
0.46161890029907227,-0.06,0.18,-0.1,0.21
0.4718189239501953,-0.11,0.24,-0.21,0.33
0.4816169738769531,-0.18,0.24,-0.3,0.42
0.4913308620452881,-0.13,0.24,-0.29,0.39
0.5015029907226562,-0.1,0.22,-0.38,0.45
0.5113658905029297,-0.15,0.17,-0.4,0.45
0.5213558673858643,-0.19,0.08,-0.27,0.33
0.5313808917999268,-0.2,0.04,-0.21,0.29
0.541071891784668,-0.13,0.04,-0.21,0.25
0.5513508319854736,-0.09,0.08,-0.15,0.19
0.5608038902282715,-0.02,0.08,-0.11,0.13
0.5710837841033936,0.06,0.05,-0.12,0.14
0.5809769630432129,0.07,-0.01,-0.16,0.17
0.5907108783721924,0.07,-0.09,-0.15,0.18
0.6007950305938721,0.09,-0.13,-0.13,0.2
0.6106259822845459,0.08,-0.13,-0.15,0.21
0.6206789016723633,0.03,-0.1,-0.14,0.17
0.6306729316711426,-0.06,-0.12,-0.07,0.15
0.6404068470001221,-0.07,-0.13,-0.04,0.15
0.6505959033966064,0.02,-0.09,-0.01,0.09
0.6601309776306152,0.09,-0.04,-0.01,0.09
0.6704399585723877,0.11,-0.04,0.04,0.12
0.6803491115570068,0.15,-0.07,0.01,0.16
0.6903738975524902,0.16,-0.11,-0.1,0.21
0.7001488208770752,0.09,-0.12,-0.18,0.23
0.710176944732666,0.0,-0.1,-0.11,0.14
0.7200009822845459,-0.08,-0.06,-0.03,0.1
0.7300128936767578,-0.15,0.0,-0.09,0.17
0.7398607730865479,-0.21,0.02,-0.22,0.3
0.7499568462371826,-0.23,0.0,-0.13,0.26
0.7596349716186523,-0.16,0.02,-0.06,0.17
0.7697739601135254,-0.12,0.08,0.03,0.14
0.7794997692108154,-0.04,0.13,0.01,0.13
0.7893331050872803,0.01,0.11,-0.02,0.11
0.7993059158325195,0.04,0.07,-0.03,0.08
0.8092730045318604,0.07,0.06,-0.13,0.15
0.8192129135131836,0.05,0.01,-0.16,0.16
0.8292200565338135,0.0,-0.04,-0.08,0.08
0.8390400409698486,-0.03,-0.03,-0.08,0.09
0.8492357730865479,-0.05,0.01,-0.11,0.12
0.8587288856506348,-0.08,-0.01,-0.09,0.12
0.8690807819366455,-0.11,-0.05,-0.1,0.15
0.8789680004119873,-0.11,-0.06,-0.1,0.16
0.8886079788208008,-0.11,-0.07,0.02,0.13
0.898784875869751,-0.05,-0.03,0.08,0.09
0.9083988666534424,0.01,-0.01,0.06,0.06
0.9186279773712158,0.01,-0.04,0.08,0.09
0.9286999702453613,0.04,-0.05,0.04,0.07
0.9386289119720459,0.07,-0.01,0.03,0.07
0.9484329223632812,0.1,0.03,-0.04,0.11
0.9583427906036377,0.09,0.05,-0.1,0.14
0.9683489799499512,0.03,0.01,-0.15,0.15
0.9783329963684082,0.0,-0.01,-0.16,0.16
0.9882137775421143,-0.02,0.0,-0.03,0.03
0.9981169700622559,-0.01,-0.02,0.02,0.03
1.0077309608459473,0.02,0.0,0.02,0.02
1.018014907836914,0.01,-0.03,0.02,0.03
1.0280768871307373,0.01,-0.04,0.0,0.04
1.0377638339996338,0.01,-0.02,-0.06,0.06
1.0478971004486084,-0.02,-0.04,-0.03,0.05
1.0573759078979492,-0.02,0.0,-0.03,0.03
1.0677731037139893,-0.03,0.02,-0.08,0.08
1.0776898860931396,-0.05,0.01,-0.02,0.05
1.0872890949249268,-0.07,0.01,-0.02,0.07
1.097343921661377,-0.07,-0.01,-0.1,0.12
1.1070730686187744,-0.08,-0.01,-0.07,0.1
1.1172988414764404,-0.06,0.03,0.0,0.06
1.1272649765014648,-0.04,0.0,0.03,0.05
1.1368238925933838,0.01,-0.05,0.0,0.05
1.1470248699188232,0.05,-0.06,0.0,0.07
1.156891107559204,0.11,-0.03,0.08,0.13
1.1670100688934326,0.14,0.01,0.06,0.15
1.1769177913665771,0.1,0.02,-0.11,0.15
1.186486005783081,0.04,0.03,-0.1,0.11
1.1967837810516357,-0.01,0.07,-0.06,0.09
1.2064487934112549,-0.09,0.03,-0.13,0.16
1.2166919708251953,-0.12,-0.02,-0.17,0.2
1.2266199588775635,-0.12,-0.06,-0.18,0.22
1.23630690574646,-0.09,-0.06,-0.05,0.11
1.2464499473571777,-0.02,-0.05,-0.02,0.05
1.2560408115386963,0.01,-0.04,0.02,0.04
1.2663459777832031,0.03,-0.03,0.04,0.05
1.276190996170044,0.01,-0.03,-0.03,0.04
1.2858331203460693,0.01,-0.03,-0.04,0.05
1.2958629131317139,0.02,0.01,0.0,0.02
1.3058750629425049,0.02,0.04,-0.04,0.06
1.3158609867095947,-0.03,0.03,-0.06,0.07
1.3258709907531738,-0.04,0.01,-0.05,0.06
1.3356988430023193,-0.04,-0.01,-0.02,0.04
1.3457748889923096,-0.05,-0.02,-0.1,0.11
1.3554837703704834,-0.05,-0.05,-0.11,0.13
1.365657091140747,-0.02,-0.09,-0.04,0.1
1.3755848407745361,0.0,-0.07,0.0,0.07
1.385467767715454,0.01,-0.07,0.05,0.08
1.3952600955963135,0.04,-0.08,0.12,0.14
1.405000925064087,0.07,-0.05,0.08,0.11
1.4151029586791992,0.08,-0.01,-0.01,0.08
1.42529296875,0.07,0.02,-0.04,0.08
1.4349610805511475,0.06,0.06,-0.04,0.09
1.4450409412384033,0.0,0.06,0.05,0.07
1.4546139240264893,-0.04,0.05,0.05,0.08
1.4649388790130615,-0.03,0.06,0.04,0.07
1.4747908115386963,0.08,0.04,0.21,0.22
1.4846150875091553,0.2,0.02,0.33,0.38
1.4945528507232666,0.34,-0.02,0.26,0.42
1.5044119358062744,0.48,-0.07,0.29,0.56
1.5145509243011475,0.55,-0.08,0.35,0.65
1.5245320796966553,0.49,-0.08,0.38,0.62
1.5343029499053955,0.4,-0.06,0.4,0.56
1.5443379878997803,0.38,-0.02,0.43,0.57
1.5540168285369873,0.17,-0.06,0.11,0.21
1.564162015914917,0.01,-0.21,-0.03,0.21
1.5742270946502686,-0.13,-0.23,0.06,0.27
1.584252119064331,-0.08,-0.08,0.07,0.13
1.5939390659332275,-0.05,0.11,-0.07,0.13
1.6037089824676514,-0.08,0.21,0.07,0.23
1.6136748790740967,-0.08,0.24,0.15,0.29
1.6238529682159424,0.05,0.23,-0.18,0.29
1.6337740421295166,1.16,-0.33,0.07,1.2
1.6437349319458008,1.85,-0.64,0.56,2.03
1.6533210277557373,1.17,-0.2,0.75,1.4
1.6634619235992432,0.35,-0.09,-0.15,0.39
1.673482894897461,-0.49,-0.83,-0.18,0.98
1.6831281185150146,0.41,-0.57,0.72,1.0
1.6931688785552979,0.43,0.38,0.86,1.03
1.703145980834961,-0.45,0.52,-0.47,0.83
1.7130558490753174,-0.69,0.5,-1.08,1.37
1.7231779098510742,-0.33,1.01,-0.33,1.11
1.733313798904419,0.15,1.26,0.36,1.31
1.7429699897766113,0.35,0.63,0.66,0.97
1.752742052078247,0.37,-0.15,0.69,0.79
1.7628028392791748,0.36,-0.53,0.44,0.77
1.7727530002593994,0.37,-0.53,0.15,0.66
1.782438039779663,0.22,-0.69,-0.16,0.74
1.79258394241333,0.03,-0.35,-0.47,0.58
1.8024139404296875,-0.15,0.03,-0.18,0.23
1.8122928142547607,-0.19,0.19,0.33,0.42
1.8225059509277344,-0.01,0.23,0.5,0.55
1.8327629566192627,0.23,0.08,0.49,0.54
1.8422489166259766,0.15,-0.13,0.46,0.5
1.8518998622894287,-0.19,-0.24,0.34,0.45
1.8620398044586182,-0.36,-0.36,-0.12,0.52
1.8720839023590088,-0.37,-0.72,-0.6,1.0
1.8822457790374756,-0.34,-1.1,-0.78,1.39
1.8919150829315186,-0.49,-1.41,-0.87,1.72
1.9014899730682373,-0.76,-1.75,-0.88,2.1
1.911634922027588,-0.9,-2.25,-0.8,2.55
1.9216678142547607,-1.75,-3.14,-0.69,3.66
1.9318020343780518,-0.32,-3.3,-3.11,4.54
1.941532850265503,1.61,-2.29,-4.86,5.6
1.951218843460083,1.82,-0.95,-4.93,5.34
1.9613709449768066,1.97,0.27,-1.45,2.46
1.971419095993042,-1.34,4.07,19.25,19.72
1.9819238185882568,-2.94,8.37,9.02,12.65
1.9912869930267334,-2.11,3.68,-8.56,9.55
2.000863790512085,-1.88,-1.46,-1.22,2.67
2.010974884033203,1.09,-1.55,1.47,2.39
2.021075963973999,0.69,-0.84,0.63,1.25
2.031402826309204,0.05,-0.29,1.04,1.08
2.040877103805542,-1.93,-0.45,1.01,2.22
2.050513982772827,-1.66,-0.55,0.42,1.79
2.0606529712677,-0.4,-0.63,0.81,1.1
2.070680856704712,0.4,-0.41,0.55,0.79
2.080789804458618,0.54,-0.04,0.07,0.54
2.0905730724334717,0.38,0.39,0.32,0.63
2.1003758907318115,0.05,0.61,0.48,0.77
2.110253095626831,-0.3,0.61,0.29,0.73
2.1203649044036865,-0.62,0.5,0.3,0.85
2.1305809020996094,-0.98,0.43,0.24,1.09
2.1402649879455566,-0.87,0.33,0.17,0.94
2.1500439643859863,-0.7,-0.04,0.55,0.89
2.1600987911224365,-0.92,-0.28,-0.24,0.99
2.1700918674468994,-0.75,-0.29,0.47,0.93
2.180344820022583,-0.51,0.06,0.62,0.8
2.189866781234741,-0.56,0.8,0.65,1.17
2.1996800899505615,-0.25,1.23,0.79,1.48
2.209742784500122,0.15,1.52,0.32,1.56
2.219651937484741,-0.28,3.14,0.04,3.15
2.2299139499664307,-1.69,4.45,-0.29,4.76
2.239480972290039,-3.15,4.25,-0.9,5.36
2.249121904373169,-1.73,3.66,-1.12,4.2
2.2592737674713135,-1.11,3.84,-0.67,4.05
2.269300937652588,-1.53,4.18,-0.94,4.54
2.2795679569244385,-0.59,4.8,-0.31,4.84
2.289055109024048,-0.58,4.96,-1.17,5.12
2.2988669872283936,-2.42,5.52,-2.38,6.48
2.308983087539673,-3.21,6.67,-2.56,7.83
2.3190739154815674,-2.24,7.25,-3.08,8.18
2.3292438983917236,-2.94,7.65,-3.13,8.77
2.3387677669525146,-3.96,8.33,-3.39,9.82
2.3485569953918457,-4.82,9.37,-3.53,11.11
2.3586537837982178,-6.28,11.62,-3.61,13.69
2.3686630725860596,-7.26,14.21,-3.44,16.32
2.37884783744812,-8.15,15.85,-3.34,18.13
2.3887650966644287,-7.92,15.74,-3.23,17.91
2.398155927658081,-7.13,13.59,-2.97,15.63
2.408237934112549,-5.98,10.84,-2.7,12.67
2.41841197013855,-4.77,7.85,-2.55,9.53
2.4287428855895996,-4.18,5.28,-2.55,7.2
2.438126802444458,-3.73,4.1,-2.48,6.07
