time,ax,ay,az,atotal
0.01025080680847168,-0.24,-0.62,-0.19,0.69
0.014346837997436523,0.28,-0.16,-1.57,1.6
0.025287866592407227,0.55,0.1,-1.48,1.58
0.03292679786682129,0.64,-0.05,-0.6,0.87
0.04275798797607422,0.35,0.0,-0.19,0.39
0.05277395248413086,0.18,0.26,-0.3,0.43
0.06271076202392578,0.17,0.47,-0.56,0.75
0.0753638744354248,0.12,0.58,-0.59,0.83
0.08263492584228516,0.12,0.57,-0.39,0.7
0.092620849609375,0.22,0.54,-0.23,0.62
0.10228586196899414,0.33,0.5,-0.25,0.64
0.11254072189331055,0.32,0.44,-0.38,0.66
0.12499475479125977,0.34,0.31,-0.52,0.69
0.13228368759155273,0.31,0.05,-0.55,0.63
0.14209270477294922,0.4,0.1,-0.61,0.73
0.15226173400878906,0.43,0.35,-0.8,0.97
0.16207075119018555,0.46,0.42,-0.84,1.04
0.17468595504760742,0.45,0.37,-0.7,0.91
0.18198490142822266,0.34,0.31,-0.5,0.67
0.19188380241394043,0.24,0.26,-0.33,0.48
0.2018756866455078,0.14,0.25,-0.16,0.32
0.21196699142456055,0.05,0.27,-0.1,0.29
0.22441482543945312,0.06,0.26,-0.15,0.3
0.2316288948059082,0.22,0.26,-0.29,0.44
0.2414088249206543,0.37,0.29,-0.51,0.69
0.25154590606689453,0.43,0.34,-0.61,0.82
0.26139187812805176,0.41,0.38,-0.35,0.65
0.27400684356689453,0.31,0.43,-0.05,0.53
0.28117799758911133,0.25,0.47,0.09,0.53
0.2912406921386719,0.28,0.51,0.12,0.59
0.30120372772216797,0.28,0.54,0.13,0.62
0.3110799789428711,0.25,0.57,0.04,0.62
0.32372379302978516,0.23,0.57,-0.04,0.61
0.33099985122680664,0.2,0.58,0.15,0.63
0.34070777893066406,0.14,0.66,0.41,0.78
0.3509206771850586,-0.01,0.76,-0.04,0.76
0.3609137535095215,-0.13,0.77,-0.77,1.09
0.3735508918762207,-0.19,0.68,-1.17,1.36
0.3803896903991699,-0.13,0.61,-1.25,1.39
0.39043378829956055,-0.12,0.55,-1.3,1.41
0.40058088302612305,-0.25,0.71,-1.28,1.48
0.41040587425231934,-0.35,0.89,-1.12,1.47
0.423001766204834,-0.49,1.03,-1.06,1.55
0.43030691146850586,-0.51,0.97,-0.69,1.29
0.44008398056030273,-0.54,0.89,-0.64,1.22
0.450272798538208,-0.48,0.77,-0.76,1.18
0.45987796783447266,-0.17,0.59,-0.96,1.13
0.47278594970703125,-0.22,0.44,-1.5,1.57
0.47985076904296875,-0.58,0.73,-2.21,2.39
0.48960185050964355,-1.18,1.38,-2.22,2.86
0.49977970123291016,-1.63,1.84,-2.08,3.22
0.5096437931060791,-1.86,1.89,-1.56,3.07
0.5221858024597168,-1.53,1.54,-0.79,2.31
0.5295376777648926,-0.86,1.05,-0.15,1.36
0.5395128726959229,-0.45,0.68,-0.09,0.82
0.5495166778564453,-0.79,0.6,0.09,0.99
0.5592608451843262,-1.78,0.74,1.67,2.55
0.571753978729248,-2.59,1.1,2.12,3.52
0.5790276527404785,-2.83,1.5,-0.25,3.21
0.5890407562255859,-2.71,1.84,-2.12,3.9
0.5990266799926758,-2.49,2.11,-2.1,3.88
0.6090517044067383,-2.28,2.11,-1.32,3.37
0.6216139793395996,-2.1,1.61,-0.95,2.81
0.6294879913330078,-2.12,0.85,-0.85,2.43
0.6386337280273438,-2.13,0.27,-0.81,2.29
0.6487588882446289,-2.04,0.12,-0.52,2.1
0.658484935760498,-2.1,0.41,-0.04,2.14
0.6714019775390625,-2.21,0.77,0.63,2.42
0.6786117553710938,-2.34,0.98,1.53,2.96
0.6883518695831299,-2.26,0.96,1.96,3.14
0.6986637115478516,-2.03,0.73,2.17,3.05
0.7082858085632324,-2.04,0.43,2.78,3.47
0.7209367752075195,-1.79,0.02,3.19,3.65
0.7281737327575684,-1.62,-0.02,3.75,4.08
0.7380678653717041,-1.55,0.05,4.3,4.57
0.7482168674468994,-1.69,-0.15,4.4,4.71
0.7580418586730957,-1.67,-0.44,4.27,4.6
0.7715377807617188,-1.48,-0.67,4.14,4.44
